usuario_edad,usuario_genero,pelicula_duracion,pelicula_genero,temporada_visita,años_desde_estreno,veces_vista_pelicula,dispositivo_usuario,idioma_preferido,duracion_vista_real,popularidad_streaming,rating_promedio_usuario
20,Femenino,130,Acción,Primavera,12,3672,Smart TV,Inglés,65,1770,2.08
62,Femenino,87,Comedia,Primavera,0,7869,Móvil,Español,77,5363,2.51
30,Femenino,96,Comedia,Verano,5,2411,Móvil,Inglés,71,2077,1.08
45,Femenino,124,Drama,Primavera,3,6873,Móvil,Inglés,68,9427,2.29
37,Masculino,123,Comedia,Primavera,10,7005,Smart TV,Inglés,52,9580,1.85
45,Femenino,151,Drama,Verano,9,3742,Computadora,Inglés,153,8901,2.31
25,Masculino,156,Drama,Verano,9,6438,Computadora,Español,121,5858,1.48
58,Masculino,144,Drama,Verano,4,2709,Móvil,Español,138,7544,4.56
56,Femenino,90,Comedia,Primavera,10,9722,Móvil,Español,66,5719,3.37
18,Masculino,113,Drama,Primavera,8,6340,Computadora,Inglés,53,3814,3.72
20,Masculino,74,Drama,Verano,3,7906,Computadora,Inglés,42,4374,4.16
30,Masculino,156,Acción,Verano,0,857,Computadora,Español,94,2252,2.99
45,Masculino,110,Drama,Verano,10,5186,Computadora,Inglés,118,7996,1.35
42,Femenino,128,Drama,Primavera,8,6320,Móvil,Inglés,38,5673,3.15
50,Femenino,158,Acción,Primavera,4,5702,Móvil,Español,171,5530,3.35
55,Femenino,174,Acción,Verano,9,9426,Móvil,Inglés,188,7881,3.98
23,Femenino,123,Comedia,Primavera,12,6221,Computadora,Español,134,7949,2.73
61,Femenino,143,Drama,Verano,11,9056,Smart TV,Inglés,97,7241,1.51
62,Femenino,91,Comedia,Primavera,12,2825,Computadora,Español,97,9017,2.14
49,Femenino,152,Comedia,Primavera,10,3468,Computadora,Inglés,93,7941,2.45
62,Femenino,134,Acción,Primavera,6,3597,Smart TV,Inglés,43,8002,3.58
64,Femenino,133,Comedia,Primavera,2,8274,Smart TV,Inglés,63,2331,3.28
38,Femenino,140,Drama,Primavera,3,9964,Computadora,Inglés,147,5261,2.42
33,Masculino,73,Acción,Primavera,11,5742,Smart TV,Inglés,22,8648,4.95
38,Femenino,134,Drama,Primavera,9,8874,Smart TV,Español,98,6115,3.42
28,Masculino,84,Drama,Verano,8,4866,Smart TV,Inglés,30,5637,1.95
54,Masculino,173,Acción,Primavera,9,4733,Computadora,Español,91,5854,1.41
53,Masculino,145,Drama,Primavera,12,1921,Computadora,Español,53,4177,1.61
52,Masculino,91,Acción,Primavera,0,1285,Smart TV,Español,89,8730,1.98
36,Femenino,155,Drama,Primavera,11,1737,Móvil,Inglés,119,3180,1.64
37,Masculino,116,Acción,Verano,10,7336,Smart TV,Español,118,5892,1.75
35,Femenino,150,Comedia,Primavera,4,8480,Smart TV,Inglés,127,8043,2.14
64,Femenino,162,Drama,Primavera,7,1846,Computadora,Inglés,174,1137,1.69
58,Masculino,115,Acción,Verano,9,5897,Móvil,Inglés,81,7327,4.59
31,Femenino,83,Drama,Verano,6,8189,Smart TV,Español,67,4472,1.32
32,Masculino,119,Drama,Primavera,3,2720,Móvil,Inglés,90,6449,3.1
48,Masculino,89,Drama,Primavera,6,7697,Computadora,Inglés,61,3832,2.64
18,Femenino,119,Acción,Primavera,0,8102,Móvil,Inglés,116,4579,4.93
20,Femenino,102,Comedia,Primavera,5,6207,Computadora,Español,83,6971,1.45
33,Masculino,128,Comedia,Primavera,8,9476,Smart TV,Español,120,5164,2.59
40,Femenino,112,Comedia,Verano,2,2893,Computadora,Español,104,8941,4.88
28,Femenino,148,Acción,Verano,3,2600,Móvil,Español,67,6569,4.46
29,Femenino,81,Comedia,Verano,7,8461,Móvil,Inglés,66,5300,4.27
27,Masculino,109,Acción,Verano,11,5025,Móvil,Español,50,7269,2.03
49,Masculino,89,Drama,Primavera,4,1180,Smart TV,Inglés,68,4818,1.68
33,Femenino,163,Drama,Primavera,4,9555,Móvil,Español,137,2906,3.67
25,Femenino,107,Comedia,Primavera,0,4964,Móvil,Inglés,117,7254,4.72
55,Femenino,72,Acción,Primavera,5,4553,Móvil,Español,23,1760,3.23
29,Femenino,97,Drama,Primavera,1,2348,Computadora,Español,36,8830,3.29
41,Femenino,125,Acción,Primavera,0,1425,Móvil,Español,45,8350,2.12
45,Masculino,159,Acción,Primavera,5,3973,Computadora,Inglés,98,7238,4.08
25,Femenino,163,Drama,Verano,4,1788,Móvil,Inglés,156,7090,1.75
45,Masculino,82,Acción,Verano,12,3085,Computadora,Español,79,7031,2.29
53,Femenino,146,Drama,Verano,4,2176,Computadora,Español,129,8687,2.7
43,Masculino,135,Drama,Primavera,8,9821,Smart TV,Español,137,9472,3.03
25,Femenino,106,Drama,Verano,11,1561,Smart TV,Español,59,2887,1.97
45,Masculino,118,Acción,Verano,9,9694,Computadora,Español,43,4266,1.46
45,Femenino,171,Drama,Verano,9,172,Computadora,Español,59,1666,3.44
54,Masculino,135,Acción,Verano,12,6130,Smart TV,Inglés,132,5188,2.15
58,Masculino,105,Drama,Primavera,2,4711,Computadora,Inglés,92,1671,3.32
53,Masculino,123,Drama,Primavera,0,2896,Smart TV,Inglés,105,7777,1.62
44,Masculino,95,Comedia,Primavera,7,7817,Smart TV,Inglés,54,8570,2.92
34,Masculino,144,Comedia,Primavera,11,4616,Móvil,Inglés,86,8956,3.13
26,Masculino,141,Comedia,Verano,4,2593,Móvil,Inglés,150,6124,1.21
50,Femenino,177,Acción,Verano,10,4331,Smart TV,Español,62,6585,2.35
37,Masculino,109,Acción,Verano,4,3676,Smart TV,Español,100,5777,1.54
30,Femenino,112,Drama,Primavera,7,8200,Computadora,Español,61,4900,1.25
45,Femenino,91,Drama,Primavera,7,5828,Smart TV,Español,30,7677,4.96
46,Femenino,89,Drama,Primavera,10,132,Smart TV,Español,79,7981,2.29
30,Femenino,77,Drama,Primavera,1,4473,Móvil,Inglés,43,7376,4.24
63,Femenino,98,Acción,Primavera,2,3698,Smart TV,Inglés,86,1523,2.02
52,Masculino,109,Drama,Primavera,9,2492,Computadora,Inglés,94,3393,3.73
23,Masculino,159,Drama,Primavera,9,6805,Smart TV,Inglés,115,3593,4.04
35,Masculino,99,Comedia,Verano,0,6890,Móvil,Inglés,91,8240,3.38
22,Femenino,150,Drama,Primavera,2,2777,Móvil,Español,114,7937,2.89
64,Masculino,153,Drama,Primavera,11,1501,Móvil,Inglés,80,7190,2.65
42,Masculino,124,Drama,Verano,3,917,Móvil,Inglés,110,6240,2.4
19,Masculino,85,Acción,Primavera,10,6303,Smart TV,Inglés,65,7493,4.72
27,Masculino,115,Comedia,Verano,6,9952,Computadora,Español,35,3878,4.32
47,Masculino,131,Drama,Primavera,8,4662,Computadora,Español,133,5143,4.86
62,Femenino,176,Drama,Primavera,11,4823,Computadora,Español,129,4644,1.5
22,Masculino,76,Comedia,Verano,4,2538,Smart TV,Español,75,5432,3.92
50,Femenino,149,Drama,Primavera,11,6928,Smart TV,Español,149,2276,4.75
18,Femenino,114,Acción,Verano,0,1310,Smart TV,Español,74,6811,1.72
35,Femenino,128,Drama,Primavera,1,6741,Computadora,Inglés,90,1302,1.27
49,Femenino,125,Acción,Primavera,9,699,Smart TV,Inglés,79,1638,3.96
64,Femenino,117,Acción,Primavera,1,5580,Smart TV,Inglés,77,1055,3.3
28,Masculino,96,Drama,Primavera,8,1946,Móvil,Español,97,9717,4.37
38,Masculino,122,Comedia,Primavera,9,6692,Móvil,Español,113,9150,1.56
43,Masculino,156,Acción,Verano,6,7961,Computadora,Español,62,3125,4.18
42,Femenino,157,Comedia,Primavera,1,1987,Móvil,Español,123,1364,1.81
39,Masculino,142,Drama,Primavera,0,779,Móvil,Inglés,155,7809,1.65
44,Masculino,104,Acción,Verano,4,3352,Móvil,Español,80,5621,1.66
30,Femenino,120,Drama,Primavera,11,1935,Smart TV,Español,111,6126,4.26
50,Femenino,153,Comedia,Primavera,0,2277,Móvil,Español,140,6122,3.66
51,Femenino,106,Drama,Primavera,8,8242,Móvil,Español,61,2646,3.09
58,Femenino,175,Drama,Primavera,2,248,Móvil,Español,104,1918,2.44
52,Masculino,150,Acción,Verano,1,1595,Smart TV,Inglés,131,3797,4.51
18,Femenino,164,Drama,Verano,12,1844,Computadora,Español,114,7506,2.57
38,Femenino,126,Drama,Primavera,5,1746,Smart TV,Español,95,6870,4.27
23,Masculino,77,Drama,Verano,2,3095,Smart TV,Inglés,67,2531,2.76
45,Masculino,148,Acción,Verano,4,6743,Móvil,Español,136,9172,2.51
34,Femenino,164,Comedia,Primavera,9,9964,Computadora,Español,84,4345,2.85
22,Masculino,163,Comedia,Primavera,7,7478,Móvil,Inglés,68,8673,2.21
48,Femenino,179,Drama,Primavera,9,8949,Móvil,Inglés,95,7949,3.99
22,Femenino,89,Acción,Primavera,1,3767,Computadora,Inglés,62,7882,3.01
55,Masculino,172,Drama,Primavera,11,9345,Computadora,Inglés,98,2906,1.93
20,Masculino,122,Comedia,Verano,12,676,Smart TV,Inglés,92,4086,4.6
40,Femenino,81,Acción,Primavera,4,4879,Computadora,Inglés,27,9152,2.54
54,Femenino,118,Comedia,Verano,10,8287,Smart TV,Inglés,83,6750,3.17
54,Femenino,86,Comedia,Verano,7,3072,Smart TV,Inglés,51,9905,4.63
27,Masculino,133,Acción,Verano,0,7856,Móvil,Inglés,96,2062,3.5
27,Femenino,111,Acción,Primavera,9,4048,Móvil,Inglés,70,2976,1.47
36,Femenino,163,Drama,Primavera,9,6644,Móvil,Español,85,2296,4.76
34,Femenino,98,Drama,Primavera,10,2145,Computadora,Inglés,100,7229,3.51
38,Femenino,88,Comedia,Verano,12,1727,Computadora,Inglés,39,8641,2.34
31,Femenino,179,Acción,Primavera,11,1588,Smart TV,Inglés,151,1125,1.56
26,Masculino,80,Acción,Primavera,12,9227,Smart TV,Inglés,83,5632,4.18
63,Femenino,167,Drama,Primavera,11,3663,Smart TV,Inglés,122,7288,3.48
18,Femenino,119,Comedia,Verano,3,1902,Computadora,Español,119,4596,3.13
62,Femenino,140,Comedia,Primavera,4,9712,Smart TV,Español,55,7168,4.58
30,Femenino,177,Drama,Verano,9,3691,Smart TV,Español,123,8561,4.15
21,Masculino,127,Acción,Primavera,11,3620,Computadora,Inglés,84,9258,1.61
18,Masculino,103,Drama,Primavera,10,5996,Móvil,Inglés,31,1232,2.25
57,Masculino,89,Drama,Verano,2,7743,Computadora,Español,58,7371,1.99
49,Femenino,119,Drama,Primavera,11,7141,Smart TV,Inglés,70,5206,3.98
51,Femenino,171,Drama,Verano,1,3411,Móvil,Inglés,142,8943,1.13
45,Masculino,157,Acción,Verano,11,2405,Computadora,Español,164,7891,3.28
48,Masculino,79,Drama,Verano,2,7975,Móvil,Inglés,29,7738,4.05
25,Masculino,101,Acción,Primavera,10,2067,Móvil,Inglés,56,3472,4.51
56,Femenino,121,Drama,Primavera,4,8109,Smart TV,Inglés,79,3739,2.37
43,Femenino,84,Comedia,Primavera,6,5562,Computadora,Inglés,55,6401,4.29
51,Masculino,170,Acción,Primavera,1,6997,Smart TV,Inglés,156,2761,1.44
20,Masculino,153,Comedia,Primavera,12,3558,Computadora,Inglés,100,1876,4.39
29,Masculino,72,Drama,Primavera,6,8685,Computadora,Inglés,23,4812,1.51
18,Femenino,106,Drama,Verano,5,4878,Computadora,Español,92,2460,2.59
61,Femenino,109,Drama,Primavera,6,3830,Móvil,Español,109,2733,4.19
22,Femenino,141,Acción,Primavera,6,4465,Móvil,Inglés,100,2605,1.6
47,Masculino,109,Comedia,Verano,8,7647,Smart TV,Inglés,83,6622,1.92
47,Masculino,177,Acción,Primavera,6,127,Computadora,Español,76,7767,3.89
34,Femenino,125,Acción,Primavera,11,3591,Computadora,Español,59,7986,3.88
64,Masculino,92,Drama,Primavera,12,6523,Móvil,Español,44,4517,3.56
40,Femenino,173,Comedia,Primavera,5,5401,Computadora,Español,111,4735,3.78
32,Masculino,80,Drama,Verano,9,6260,Smart TV,Español,83,9434,3.17
54,Masculino,179,Acción,Verano,7,1273,Computadora,Español,128,3590,2.01
38,Masculino,133,Drama,Primavera,6,438,Computadora,Español,60,2063,2.38
31,Masculino,77,Comedia,Primavera,5,9360,Móvil,Inglés,39,5324,1.73
19,Femenino,162,Drama,Primavera,3,941,Computadora,Español,98,6342,4.63
28,Masculino,163,Comedia,Verano,6,393,Smart TV,Español,130,1005,3.33
56,Femenino,125,Comedia,Primavera,11,9614,Smart TV,Español,81,8489,2.6
55,Femenino,129,Drama,Primavera,7,6658,Smart TV,Inglés,79,9659,2.85
51,Femenino,79,Acción,Primavera,7,1747,Smart TV,Inglés,59,9195,4.79
55,Masculino,108,Drama,Primavera,11,4998,Móvil,Inglés,53,6966,1.61
51,Femenino,97,Acción,Primavera,11,4626,Computadora,Español,35,9837,3.34
35,Femenino,118,Acción,Verano,3,5714,Móvil,Español,37,1117,3.02
47,Femenino,105,Drama,Primavera,9,3901,Smart TV,Español,52,3551,3.45
32,Masculino,82,Acción,Primavera,8,8380,Computadora,Inglés,30,6560,1.07
44,Masculino,165,Acción,Primavera,2,7476,Móvil,Inglés,93,5289,4.49
51,Femenino,105,Drama,Verano,8,999,Computadora,Inglés,96,1846,4.73
55,Masculino,170,Drama,Verano,2,3577,Smart TV,Inglés,148,7316,3.26
50,Femenino,95,Drama,Primavera,12,1844,Smart TV,Inglés,74,7469,3.79
41,Femenino,155,Acción,Primavera,6,6196,Computadora,Inglés,152,9915,4.69
32,Masculino,73,Comedia,Primavera,3,2353,Computadora,Español,38,1224,3.83
47,Femenino,164,Acción,Primavera,4,1733,Smart TV,Inglés,165,5208,1.61
59,Masculino,151,Comedia,Verano,12,7101,Móvil,Inglés,93,7283,3.31
34,Masculino,133,Drama,Primavera,2,7120,Smart TV,Inglés,82,3048,3.43
22,Femenino,107,Comedia,Primavera,1,9153,Computadora,Inglés,66,7233,2.7
46,Masculino,157,Drama,Primavera,11,8249,Móvil,Español,59,2828,3.95
21,Masculino,156,Drama,Verano,7,4801,Smart TV,Español,168,2917,4.74
27,Femenino,91,Comedia,Primavera,6,6835,Computadora,Inglés,37,5234,4.7
34,Femenino,71,Drama,Verano,6,1113,Computadora,Español,40,7988,2.8
27,Masculino,100,Comedia,Primavera,7,3399,Computadora,Español,55,3026,1.45
34,Masculino,80,Drama,Verano,12,1606,Móvil,Español,28,4744,4.94
37,Femenino,161,Acción,Primavera,0,4903,Móvil,Español,67,1009,4.36
41,Masculino,115,Acción,Verano,11,1077,Móvil,Español,38,1260,1.5
22,Masculino,165,Drama,Verano,7,1917,Móvil,Español,88,7038,4.68
51,Masculino,131,Drama,Primavera,9,5001,Computadora,Español,130,3219,4.48
23,Masculino,138,Comedia,Verano,11,9240,Computadora,Inglés,78,8041,3.08
19,Masculino,133,Acción,Primavera,4,6898,Móvil,Español,53,3060,3.37
30,Masculino,171,Comedia,Primavera,7,573,Móvil,Inglés,139,6287,2.6
60,Masculino,79,Drama,Primavera,8,667,Computadora,Español,86,2619,1.22
60,Femenino,109,Drama,Primavera,12,8066,Smart TV,Español,52,9512,2.34
28,Femenino,179,Comedia,Primavera,1,2358,Smart TV,Español,93,2342,4.21
64,Femenino,93,Drama,Verano,2,8220,Computadora,Inglés,100,3832,1.02
40,Femenino,168,Acción,Primavera,5,4410,Móvil,Español,74,3824,2.33
33,Femenino,113,Comedia,Primavera,8,2082,Móvil,Inglés,80,2994,2.59
48,Masculino,129,Acción,Primavera,9,1196,Computadora,Español,63,4490,3.15
28,Masculino,131,Acción,Primavera,9,6710,Smart TV,Español,137,8984,4.68
33,Masculino,156,Acción,Primavera,7,3670,Computadora,Inglés,169,2604,2.39
25,Masculino,86,Comedia,Verano,12,6597,Computadora,Español,81,1235,2.39
21,Femenino,134,Drama,Verano,5,3746,Computadora,Español,73,2908,3.95
57,Masculino,164,Acción,Primavera,4,2519,Móvil,Español,102,9567,2.81
21,Masculino,164,Acción,Verano,12,4379,Móvil,Inglés,80,4530,1.9
42,Femenino,175,Acción,Primavera,2,773,Móvil,Español,177,6256,2.81
20,Masculino,126,Drama,Verano,11,2902,Smart TV,Español,129,3635,1.56
49,Masculino,124,Drama,Primavera,3,7412,Computadora,Español,78,9162,1.71
20,Femenino,175,Comedia,Verano,12,2469,Computadora,Inglés,144,3560,2.99
44,Masculino,122,Drama,Primavera,12,4630,Smart TV,Español,52,6415,2.68
46,Masculino,125,Comedia,Primavera,6,1166,Móvil,Inglés,80,4391,4.66
49,Masculino,167,Comedia,Verano,6,5532,Computadora,Español,134,6951,2.45
36,Masculino,78,Comedia,Verano,2,8173,Smart TV,Español,47,6468,3.32
38,Masculino,91,Comedia,Primavera,3,787,Móvil,Inglés,53,9007,3.53
22,Femenino,82,Comedia,Primavera,2,168,Móvil,Inglés,24,7413,1.05
35,Femenino,158,Acción,Verano,1,6874,Computadora,Inglés,149,7941,3.65
45,Femenino,117,Drama,Primavera,5,519,Móvil,Inglés,118,5820,1.71
59,Femenino,87,Acción,Verano,6,6991,Smart TV,Inglés,93,3898,4.84
39,Femenino,145,Comedia,Verano,3,5693,Móvil,Español,126,8546,1.59
38,Femenino,109,Drama,Verano,4,6204,Computadora,Español,80,1077,2.66
23,Masculino,86,Acción,Verano,7,3992,Smart TV,Inglés,44,8577,1.34
18,Femenino,84,Acción,Verano,8,539,Móvil,Español,92,5227,4.99
22,Femenino,175,Comedia,Primavera,6,9578,Móvil,Español,135,1600,3.01
58,Masculino,84,Acción,Primavera,9,1308,Móvil,Inglés,70,2065,3.38
29,Masculino,148,Acción,Primavera,0,9370,Smart TV,Inglés,125,3136,1.27
43,Femenino,132,Acción,Primavera,10,2663,Móvil,Inglés,128,7943,4.0
63,Masculino,108,Acción,Primavera,2,7566,Computadora,Español,33,8804,1.84
51,Femenino,82,Acción,Primavera,10,1353,Smart TV,Inglés,39,7565,4.59
31,Masculino,150,Comedia,Primavera,4,3309,Smart TV,Español,124,6984,1.82
43,Femenino,101,Comedia,Primavera,2,3649,Móvil,Inglés,102,6142,1.76
62,Masculino,78,Acción,Verano,0,714,Smart TV,Inglés,66,5670,1.15
44,Masculino,109,Comedia,Primavera,1,3178,Computadora,Inglés,68,3190,2.89
26,Femenino,89,Comedia,Primavera,7,3590,Smart TV,Inglés,52,3712,3.26
43,Femenino,159,Drama,Primavera,6,3643,Computadora,Español,141,3192,1.26
64,Femenino,160,Acción,Verano,12,8202,Móvil,Español,142,2248,4.1
39,Femenino,154,Comedia,Verano,9,2000,Smart TV,Español,120,5033,2.81
64,Femenino,151,Comedia,Verano,2,5780,Computadora,Inglés,80,2997,3.1
47,Masculino,146,Acción,Verano,3,6851,Móvil,Español,151,4687,2.76
60,Femenino,149,Drama,Primavera,12,5962,Computadora,Español,110,5018,2.6
34,Femenino,142,Acción,Verano,2,1812,Smart TV,Español,132,2970,3.24
43,Masculino,132,Drama,Verano,12,2429,Smart TV,Inglés,62,9389,1.62
53,Masculino,145,Acción,Verano,3,1294,Computadora,Español,83,6765,1.73
18,Femenino,113,Acción,Verano,7,6881,Móvil,Inglés,112,2202,4.45
25,Masculino,107,Acción,Primavera,8,8262,Móvil,Inglés,36,9135,4.78
52,Masculino,152,Acción,Primavera,6,5006,Móvil,Español,107,6567,2.49
32,Femenino,129,Drama,Primavera,8,1478,Móvil,Español,88,8667,2.08
64,Masculino,140,Drama,Verano,8,9604,Computadora,Inglés,126,6742,3.58
39,Masculino,168,Comedia,Verano,6,849,Smart TV,Inglés,88,6788,2.63
31,Femenino,117,Acción,Verano,6,5392,Computadora,Inglés,55,6408,1.1
43,Femenino,87,Drama,Primavera,7,400,Smart TV,Español,90,9669,1.62
45,Masculino,85,Drama,Primavera,11,4795,Smart TV,Inglés,64,1922,3.86
40,Masculino,124,Drama,Verano,9,4724,Computadora,Inglés,47,1419,3.64
31,Femenino,108,Acción,Primavera,11,3937,Computadora,Inglés,49,3204,1.11
41,Masculino,137,Comedia,Primavera,11,377,Móvil,Español,150,2120,1.89
19,Masculino,128,Drama,Verano,2,4017,Smart TV,Inglés,58,1950,1.92
62,Masculino,158,Acción,Verano,7,7407,Móvil,Inglés,124,3336,3.69
43,Femenino,165,Drama,Primavera,0,2261,Móvil,Inglés,104,6373,1.08
31,Masculino,131,Drama,Primavera,12,1489,Computadora,Inglés,132,3243,1.42
24,Masculino,173,Comedia,Primavera,5,8982,Móvil,Inglés,156,3645,4.2
20,Femenino,82,Drama,Primavera,1,4832,Móvil,Español,63,5612,1.71
64,Masculino,178,Drama,Verano,6,3568,Móvil,Español,54,2865,3.61
40,Masculino,150,Acción,Primavera,12,6241,Computadora,Inglés,150,7028,1.95
63,Femenino,170,Acción,Primavera,2,6069,Móvil,Inglés,111,8326,1.4
60,Femenino,75,Comedia,Primavera,10,3916,Móvil,Inglés,78,7371,1.97
64,Femenino,152,Acción,Primavera,9,9231,Computadora,Inglés,105,7359,3.89
62,Femenino,146,Acción,Primavera,4,5137,Computadora,Inglés,124,8863,4.42
35,Masculino,129,Comedia,Primavera,9,6094,Computadora,Inglés,45,4228,4.32
55,Masculino,159,Drama,Primavera,1,2551,Smart TV,Español,142,4719,2.59
52,Femenino,83,Comedia,Verano,0,124,Computadora,Inglés,47,3371,3.67
32,Femenino,164,Acción,Verano,4,6062,Smart TV,Inglés,95,3891,1.82
42,Masculino,123,Comedia,Primavera,8,2656,Computadora,Español,48,4756,2.17
54,Femenino,73,Drama,Verano,8,7732,Computadora,Español,30,5225,4.59
45,Masculino,108,Comedia,Primavera,6,160,Computadora,Español,48,1094,1.05
27,Femenino,141,Acción,Primavera,8,7775,Smart TV,Español,79,3674,1.34
56,Masculino,94,Acción,Primavera,3,222,Móvil,Inglés,95,7898,1.83
34,Femenino,146,Comedia,Primavera,2,5716,Computadora,Español,86,1793,1.11
56,Femenino,101,Drama,Primavera,10,1286,Smart TV,Español,88,3116,1.73
39,Masculino,128,Comedia,Primavera,3,5258,Computadora,Español,46,6779,3.33
43,Femenino,171,Drama,Primavera,6,7964,Móvil,Inglés,132,7166,2.69
61,Masculino,132,Drama,Primavera,7,4189,Smart TV,Inglés,90,1814,4.57
42,Masculino,107,Comedia,Primavera,1,2572,Computadora,Inglés,115,1345,4.27
34,Masculino,161,Drama,Verano,4,7550,Computadora,Español,157,9554,2.37
30,Masculino,122,Acción,Primavera,4,3064,Computadora,Inglés,80,3443,2.04
37,Masculino,163,Comedia,Primavera,12,8204,Móvil,Español,149,8783,2.52
42,Femenino,136,Drama,Primavera,8,1410,Smart TV,Español,61,1984,3.36
21,Femenino,97,Acción,Primavera,12,8446,Computadora,Español,72,8790,2.07
27,Masculino,72,Comedia,Primavera,12,2312,Computadora,Español,25,1827,3.5
20,Femenino,178,Acción,Verano,12,9554,Smart TV,Inglés,102,4531,2.64
58,Masculino,167,Acción,Verano,2,6892,Móvil,Inglés,80,8147,3.21
62,Femenino,149,Acción,Verano,11,9654,Móvil,Inglés,130,5451,2.74
35,Femenino,91,Drama,Verano,5,9229,Móvil,Inglés,62,4876,2.18
64,Femenino,165,Comedia,Primavera,9,8803,Móvil,Español,148,6959,4.79
53,Femenino,107,Comedia,Primavera,11,8478,Móvil,Español,76,1126,4.05
64,Masculino,141,Drama,Verano,4,1945,Computadora,Español,52,4177,1.56
39,Masculino,141,Comedia,Primavera,1,7760,Computadora,Español,125,9795,4.47
51,Femenino,131,Acción,Primavera,1,1802,Computadora,Español,126,7024,2.95
64,Femenino,126,Comedia,Primavera,3,490,Smart TV,Inglés,128,6109,4.58
25,Masculino,75,Drama,Primavera,11,754,Móvil,Inglés,56,5146,4.2
57,Femenino,147,Acción,Verano,3,5935,Smart TV,Español,132,8196,2.7
61,Masculino,101,Drama,Verano,6,4371,Móvil,Español,91,4368,1.09
36,Masculino,168,Acción,Primavera,11,9055,Móvil,Inglés,71,4797,2.07
59,Masculino,79,Acción,Primavera,0,3500,Smart TV,Inglés,34,2792,3.17
58,Femenino,72,Comedia,Verano,10,5419,Computadora,Español,25,6732,3.53
54,Masculino,128,Acción,Verano,5,6832,Smart TV,Inglés,71,4476,2.03
23,Femenino,145,Drama,Verano,10,6774,Computadora,Inglés,98,4417,1.56
43,Masculino,118,Comedia,Primavera,12,1185,Móvil,Español,129,2645,4.34
51,Femenino,128,Drama,Primavera,8,5546,Computadora,Español,82,4030,4.94
62,Femenino,100,Acción,Verano,1,4476,Móvil,Inglés,88,3872,3.1
23,Femenino,162,Drama,Primavera,11,2063,Móvil,Inglés,138,4072,1.69
54,Masculino,138,Drama,Primavera,4,5277,Computadora,Español,63,2854,2.09
50,Masculino,131,Acción,Primavera,9,4672,Móvil,Inglés,45,5021,1.07
39,Femenino,121,Comedia,Verano,10,7643,Computadora,Inglés,89,5662,4.66
38,Femenino,158,Drama,Primavera,9,9007,Smart TV,Inglés,135,7514,1.47
23,Femenino,110,Acción,Primavera,3,342,Móvil,Español,120,6031,3.31
23,Masculino,100,Comedia,Primavera,3,6610,Móvil,Inglés,58,3708,2.1
21,Masculino,154,Comedia,Primavera,7,4015,Smart TV,Inglés,156,8112,3.22
47,Masculino,153,Comedia,Primavera,5,9815,Móvil,Español,92,9393,3.61
28,Masculino,172,Drama,Primavera,6,937,Smart TV,Español,146,4507,4.32
47,Femenino,91,Drama,Primavera,10,3423,Smart TV,Inglés,70,7456,1.83
48,Femenino,73,Drama,Primavera,11,3053,Móvil,Español,24,5212,1.04
41,Masculino,82,Comedia,Primavera,8,9637,Smart TV,Español,29,8970,1.55
26,Masculino,114,Drama,Primavera,12,1532,Smart TV,Inglés,36,9766,4.6
20,Femenino,111,Acción,Primavera,2,6954,Smart TV,Español,66,1536,4.5
48,Masculino,118,Drama,Verano,10,7755,Móvil,Inglés,105,2625,3.39
57,Masculino,89,Drama,Primavera,1,8531,Smart TV,Inglés,39,8973,3.4
54,Masculino,146,Comedia,Primavera,2,8430,Computadora,Español,114,9577,3.66
53,Masculino,150,Drama,Primavera,7,8711,Computadora,Inglés,79,9070,1.7
41,Masculino,123,Acción,Verano,12,403,Smart TV,Inglés,115,9666,4.66
48,Masculino,105,Comedia,Verano,8,2262,Computadora,Inglés,98,9609,2.68
23,Femenino,166,Acción,Verano,9,6586,Móvil,Inglés,152,7490,2.53
19,Masculino,70,Comedia,Primavera,4,4202,Smart TV,Inglés,50,4600,3.08
37,Masculino,84,Comedia,Primavera,7,6974,Móvil,Español,44,7783,1.19
45,Femenino,146,Drama,Verano,10,1268,Computadora,Español,138,5971,1.67
28,Femenino,86,Acción,Primavera,6,515,Computadora,Inglés,38,2205,3.95
21,Femenino,93,Comedia,Primavera,11,5343,Computadora,Inglés,49,2990,1.33
32,Masculino,127,Drama,Primavera,11,249,Computadora,Español,56,6299,3.41
23,Femenino,141,Comedia,Verano,12,6624,Móvil,Inglés,118,4572,1.98
47,Masculino,160,Comedia,Primavera,8,5999,Smart TV,Inglés,135,6975,2.56
55,Masculino,178,Comedia,Verano,3,938,Móvil,Inglés,146,7320,2.15
19,Masculino,92,Comedia,Verano,12,6244,Smart TV,Español,58,5380,2.42
32,Femenino,115,Comedia,Primavera,9,9988,Computadora,Inglés,43,5757,3.88
28,Femenino,141,Comedia,Primavera,2,9713,Computadora,Español,145,3713,2.19
25,Femenino,77,Drama,Primavera,8,7566,Computadora,Inglés,54,6588,3.27
43,Femenino,128,Comedia,Primavera,7,1420,Computadora,Inglés,80,1966,2.9
62,Femenino,159,Acción,Primavera,6,1623,Móvil,Español,122,5944,3.65
61,Masculino,128,Drama,Primavera,0,5334,Smart TV,Español,58,4432,4.75
22,Masculino,82,Acción,Verano,1,6244,Smart TV,Inglés,33,1688,3.93
23,Masculino,108,Comedia,Primavera,8,652,Computadora,Inglés,67,5243,1.86
43,Masculino,170,Acción,Verano,4,3856,Móvil,Inglés,81,4701,1.12
